block,lot,cartodb_id,plan_id,disposition_filterable,in_596,bbl
1695,12,448122,10408,residential,false,3016950012
3516,52,448123,10412,"residential, commercial, public, semi-public, open space",false,3035160052
3677,38,448124,10395,residential,false,3036770038
3784,1,448125,10395,residential,false,3037840001
3784,1,448126,10430,,false,3037840001
1699,64,448127,10395,"public, semi-public",false,3016990064
1722,163,448128,10388,"residential, commercial",false,3017220163
1520,28,448129,10432,residential,false,3015200028
3993,1,448130,10395,residential,false,3039930001
3854,9,448131,10430,,false,3038540009
1470,23,448132,10419,"residential, open space",false,3014700023
3854,2,448133,10430,,false,3038540002
4452,480,448134,10407,,false,3044520480
4082,4,448135,10402,"residential, community facility",false,3040820004
3585,11,448136,10412,"residential, commercial, public, semi-public, open space",false,3035850011
3516,15,448137,10412,"residential, commercial, public, semi-public, open space",false,3035160015
1538,18,448138,10432,residential,false,3015380018
1524,60,448139,10395,,false,3015240060
1524,60,448140,10432,residential,false,3015240060
3521,32,448141,10412,"residential, commercial, public, semi-public, open space",false,3035210032
1636,1,448142,10395,,false,3016360001
3305,1,448143,10429,"residential, commercial, open space",false,3033050001
3516,3,448144,10412,"residential, commercial, public, semi-public, open space",false,3035160003
3517,18,448145,10412,"residential, commercial, public, semi-public, open space",false,3035170018
4443,1,448146,10407,,false,3044430001
3567,22,448147,10412,"residential, commercial, public, semi-public, open space",false,3035670022
3517,10,448148,10412,"residential, commercial, public, semi-public, open space",false,3035170010
3316,25,448149,10429,"residential, commercial, open space",false,3033160025
3316,22,448150,10429,"residential, commercial, open space",false,3033160022
3515,51,448151,10412,"residential, commercial, public, semi-public, open space",false,3035150051
3540,37,448152,10412,"residential, commercial, public, semi-public, open space",false,3035400037
2191,40,448153,10383,,false,3021910040
3840,37,448154,10395,residential,false,3038400037
3560,47,448155,10412,"residential, commercial, public, semi-public, open space",false,3035600047
4452,401,448156,10407,,true,3044520401
3517,26,448157,10412,"residential, commercial, public, semi-public, open space",false,3035170026
15962,87,452622,10442,street,false,4159620087
3516,6,448158,10412,"residential, commercial, public, semi-public, open space",false,3035160006
3801,3,448159,10395,residential,true,3038010003
3801,3,448160,10430,,true,3038010003
2186,1,448161,10383,,false,3021860001
3683,46,448162,10401,"industrial, commercial, public, community facility",false,3036830046
3683,14,448163,10401,"industrial, commercial, public, community facility",false,3036830014
3771,48,448164,10430,,false,3037710048
2266,24,448184,10388,industrial,false,3022660024
3813,1,448165,10391,"residential, commercial, public, institutional, open space, industrial",false,3038130001
3692,30,448166,10391,"residential, commercial, public, institutional, open space, industrial",false,3036920030
3692,30,448167,10395,residential,false,3036920030
3518,56,448168,10412,"residential, commercial, public, semi-public, open space",false,3035180056
3692,31,448169,10391,"residential, commercial, public, institutional, open space, industrial",false,3036920031
3692,31,448170,10395,residential,false,3036920031
3846,6,448171,10391,"residential, commercial, public, institutional, open space, industrial",false,3038460006
2250,7,448172,10388,industrial,false,3022500007
2269,49,448173,10388,industrial,true,3022690049
3830,7,448174,10391,"residential, commercial, public, institutional, open space, industrial",false,3038300007
3830,7,448175,10395,,false,3038300007
4084,21,448176,10402,"residential, community facility",false,3040840021
3681,39,448177,10401,"industrial, commercial, public, community facility",false,3036810039
3243,7,448178,10429,"residential, commercial, open space",false,3032430007
3738,30,448179,10395,open space,false,3037380030
3738,30,448180,10430,,false,3037380030
3137,1,448181,10426,"residential, commercial",true,3031370001
3858,5,448182,10391,"residential, commercial, public, institutional, open space, industrial",false,3038580005
3845,48,448183,10391,"residential, commercial, public, institutional, open space, industrial",false,3038450048
3749,11,448186,10401,"industrial, commercial, public, community facility",false,3037490011
1726,135,448187,10388,"residential, community facility, recreational, open space",false,3017260135
3772,6,448188,10395,illegible,false,3037720006
3772,6,448189,10430,,false,3037720006
3638,12,448190,10390,illegible,false,3036380012
3637,24,448191,10390,illegible,false,3036370024
2181,1,448192,10383,,false,3021810001
3676,21,448193,10391,"residential, commercial, public, institutional, open space, industrial",false,3036760021
3676,21,448194,10395,residential,false,3036760021
4068,60,448195,10402,"residential, community facility",false,3040680060
3804,1,448196,10430,,false,3038040001
3605,10,448197,10390,easement,false,3036050010
